No.,Tanggal,Nomor,ATM ID,Lokasi,Jenis Layanan,Laporan Kerusakan,Pekerjaan Dilakukan,Nomor Tiket,Penggantian Sparepart,Jumlah Part,Status,CSE,Pilihan
35,29 September 2020,89398,ATM20002003,KCP BINJAI,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace FShaft, SW,TAW, test OK. ", ,Feedshaft *OPTEVA* ,2 , ,Rajamin Nasution ,
,,,,,,,,,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
,,,,,,,,,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,2 , ,Rajamin Nasution ,
36,26 Maret 2020,87605,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
37,25 November 2020,89382,ATM20002004,KK SETIABUDI,PM 1 , ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
38,30 April 2020,87441,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
39,21 Desember 2020,89374,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
40,26 Agustus 2020,87413,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
41,29 Juni 2020,87422,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
42,04 September 2020,87402,ATM20002004,KK SETIABUDI,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, no replace, install ulang os atm, test OK. ", , , , ,Rajamin Nasution ,
43,21 Juli 2020,87415,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
44,29 Mei 2020,87436,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
