No.,Tanggal,Nomor,ATM ID,Lokasi,Jenis Layanan,Laporan Kerusakan,Pekerjaan Dilakukan,Nomor Tiket,Penggantian Sparepart,Jumlah Part,Status,CSE,Pilihan
33.0,26 Oktober 2020,89391.0,ATM20002003,KCP BINJAI,PM pertama, ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
34.0,29 Januari 2020,87624.0,ATM20002003,KCP BINJAI,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
35.0,29 September 2020,89398.0,ATM20002003,KCP BINJAI,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace FShaft, SW,TAW, test OK. ", ,Feedshaft *OPTEVA* ,2 , ,Rajamin Nasution ,
35.0,29 September 2020,89398.0,ATM20002003,KCP BINJAI,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace FShaft, SW,TAW, test OK. ", ,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
35.0,29 September 2020,89398.0,ATM20002003,KCP BINJAI,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace FShaft, SW,TAW, test OK. ", ,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,2 , ,Rajamin Nasution ,
36.0,26 Maret 2020,87605.0,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
37.0,25 November 2020,89382.0,ATM20002004,KK SETIABUDI,PM 1 , ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
38.0,30 April 2020,87441.0,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
39.0,21 Desember 2020,89374.0,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
40.0,26 Agustus 2020,87413.0,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
41.0,29 Juni 2020,87422.0,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
42.0,04 September 2020,87402.0,ATM20002004,KK SETIABUDI,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, no replace, install ulang os atm, test OK. ", , , , ,Rajamin Nasution ,
43.0,21 Juli 2020,87415.0,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
44.0,29 Mei 2020,87436.0,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
45.0,19 Oktober 2020,89392.0,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
46.0,30 Januari 2020,87625.0,ATM20002004,KK SETIABUDI,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ",2001-0142 , , , ,Rajamin Nasution ,
47.0,23 Maret 2020,83004.0,ATM20002005,KCP GOLDEN,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace, test OK. ", ,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
48.0,24 Maret 2020,83003.0,ATM20002005,KCP GOLDEN,Error ,Hardware ,"Check & Clean all devices, no replace, Setting tray stacker,  test OK. ", , , , ,Rajamin Nasution ,
49.0,26 November 2020,89386.0,ATM20002005,KCP GOLDEN,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace Feed Shaft, SW, TAW, test OK. ", ,Feedshaft *OPTEVA* ,1 , ,Rajamin Nasution ,
49.0,26 November 2020,89386.0,ATM20002005,KCP GOLDEN,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace Feed Shaft, SW, TAW, test OK. ", ,Stripper SnapOnWheel Wide Standard  *** NEW *** ,1 , ,Rajamin Nasution ,
49.0,26 November 2020,89386.0,ATM20002005,KCP GOLDEN,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace Feed Shaft, SW, TAW, test OK. ", ,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,1 , ,Rajamin Nasution ,
50.0,30 April 2020,87442.0,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
51.0,22 Desember 2020,89373.0,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
52.0,31 Agustus 2020,87408.0,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
53.0,25 Juni 2020,87421.0,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
54.0,28 September 2020,87401.0,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
55.0,09 Juli 2020,87419.0,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
56.0,14 Mei 2020,87435.0,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
57.0,27 Oktober 2020,89393.0,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
58.0,30 Januari 2020,87626.0,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
59.0,29 Maret 2020,83002.0,ATM20002008,CAB. MEDAN II,Error & PM ,Hardware ,"Check & Clean all devices, replace Feed shat, sw, taw, test OK. ", ,Feed Shaft ,1 , ,Rajamin Nasution ,
59.0,29 Maret 2020,83002.0,ATM20002008,CAB. MEDAN II,Error & PM ,Hardware ,"Check & Clean all devices, replace Feed shat, sw, taw, test OK. ", ,Stripper Wheel ,1 , ,Rajamin Nasution ,
59.0,29 Maret 2020,83002.0,ATM20002008,CAB. MEDAN II,Error & PM ,Hardware ,"Check & Clean all devices, replace Feed shat, sw, taw, test OK. ", ,Take Away wheel ,1 , ,Rajamin Nasution ,
60.0,24 November 2020,89381.0,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
61.0,01 April 2020,87446.0,ATM20002008,CAB. MEDAN II,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace F/s, S/W., test OK. ", ,Feed Shaft ,2 , ,Rajamin Nasution ,
61.0,01 April 2020,87446.0,ATM20002008,CAB. MEDAN II,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace F/s, S/W., test OK. ", ,Stripper Wheel ,2 , ,Rajamin Nasution ,
62.0,24 Agustus 2020,87410.0,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
63.0,25 Agustus 2020,87412.0,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
64.0,30 Juni 2020,87420.0,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
65.0,21 September 2020,89399.0,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
66.0,24 Juli 2020,87414.0,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
67.0,26 Mei 2020,87607.0,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
68.0,22 Oktober 2020,89389.0,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
69.0,27 Januari 2020,87622.0,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
70.0,08 September 2020,89400.0,ATM20002008,CAB. MEDAN II,Error ,Hardware ,"Check & Clean all devices, replace PSU PC, test OK. ",2009134 ,"pwr sply,swtcr,muttv ",1 , ,Rajamin Nasution ,
71.0,20 Januari 2020,87619.0,ATM20002011,KK MEDAN FAIR,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, replace ............... / no replace, test OK. ", , , , ,Rajamin Nasution ,
72.0,31 Maret 2020,83001.0,ATM20002013,KK PEMATANG SIANTAR,Other ,Hardware ,"Check all devices, upgrade os win xp ke win 7, test OK. ", , , , ,Rajamin Nasution ,
73.0,18 Mei 2020,87432.0,ATM20002013,KK PEMATANG SIANTAR,PM 3 ,Hardware ,"General Maintenance, Check & Clean all device, replace  prasenter, test OK. ",2005-060 ,"TRANSPORT,625MM LENGTH,SFL ",1 , ,Rajamin Nasution ,
74.0,17 Maret 2020,83007.0,ATM20002014,RS. DELIA,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", , , , ,Rajamin Nasution ,
75.0,11 Mei 2020,87430.0,ATM20002014,RS. DELIA,Error ,Hardware ,"Check & Clean all devices, replace idle roller, test OK. ", , , , ,Rajamin Nasution ,
76.0,21 April 2020,87443.0,ATM20002015,BANDARA KUALANAMU,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace Harddisk test OK. ", ,HARDDISK UP TO 250GB ,1 , ,Rajamin Nasution ,
77.0,20 April 2020,87450.0,ATM20002015,BANDARA KUALANAMU,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace HArd Disk ",2004-045 ,HARDDISK UP TO 250GB ,1 , ,Rajamin Nasution ,
78.0,06 April 2020,87449.0,ATM20002020,,Support ,Non Hardware ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
79.0,24 April 2020,87444.0,ATM20002020,,PM 3 ,Hardware ,"General Maintenance, Check & Clean all device, replace CCA DSp, Install Ulang OS atm, test OK. ",2004-048 ,CCA AFD (CCA DISP OPTEVA) ,1 , ,Rajamin Nasution ,
80.0,17 Januari 2020,87620.0,ATM20002021,ALFAMART RS. HAJI,Error & PM ,Installation ,"Check & Clean all devices, no replace, install os, test OK. ", , , , ,Rajamin Nasution ,
81.0,15 Juni 2020,87426.0,ATM20002025,ALFAMART KEBUN LADA MEDAN BINJAI,Error & PM ,Hardware ,"Check & Clean all devices, replace HDD 500GB, install softwere atm, setting master key+ IP atm test OK. ",2006-083 ,HARDDISK UP TO 250GB ,1 , ,Rajamin Nasution ,
82.0,20 Oktober 2020,89395.0,ATM20002025,ALFAMART KEBUN LADA MEDAN BINJAI,PM 2 ,Non Hardware ,"General Maintenance, Check & Clean all device, replace feed shaft, SW, TAW, test OK. ", ,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
82.0,20 Oktober 2020,89395.0,ATM20002025,ALFAMART KEBUN LADA MEDAN BINJAI,PM 2 ,Non Hardware ,"General Maintenance, Check & Clean all device, replace feed shaft, SW, TAW, test OK. ", ,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,2 , ,Rajamin Nasution ,
82.0,20 Oktober 2020,89395.0,ATM20002025,ALFAMART KEBUN LADA MEDAN BINJAI,PM 2 ,Non Hardware ,"General Maintenance, Check & Clean all device, replace feed shaft, SW, TAW, test OK. ", ,Feedshaft *OPTEVA* ,2 , ,Rajamin Nasution ,
83.0,07 Mei 2020,87433.0,ATM20002026,RSUP H. ADAM MALIK,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, replace feed shaft, taw, sw, test OK. ", ,Feed Shaft ,2 , ,Rajamin Nasution ,
83.0,07 Mei 2020,87433.0,ATM20002026,RSUP H. ADAM MALIK,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, replace feed shaft, taw, sw, test OK. ", ,Stripper Wheel ,2 , ,Rajamin Nasution ,
